accountEntryCode,accountEntryId
3BEG,16667528
AA,81804607
AAAMICHIGAN,37768397
AAINTRANET,103315905
ABBVIE,45578686
ABS,76301414
ABVV,6064651
ACCLABNOIPA,88011083
ACHCOLOMBIASA,7106471
ADELPHIUNIV,4840296
ADIFINTERNET,86173420
ADIFSUMA,14345455
ADISAGIPI,40857945
ADISINTRA,76063162
ADSO,24184065
ADVANTEDGE,5808564
AECL,37839694
AECLNLG,102198958
AEGONWEBES,41253812
AESAINTRANET,82293133
AFITPORTAL,73203904
AFPA,47796703
AFT,57312458
AGBARWEB,115337324
AGCO,33425959
AGEASWEB,84311623
AGEFOS,31037586
AGIA,18053576
AGITAI,82630004
AGORAMSA,39558339
AGORAMSAPNDS,81866629
AGRISTATS,51493873
AHK,54474530
AHRESTINTERN,90089896
AHTIVNK,42999035
AIRBUSHELKEY,83589654
AKATSASTUS,30776561
AKB,80149396
AKIMEKA,6791162
ALCAMPOCONTROL,16670272
ALCAMPOINTRANET,16670389
ALCAMPOIPORTAL,16665974
ALCAMPOSITE,106549542
ALCATELLUCENT,5065408
ALLIANZCONTROL,94476764
ALLIANZES,40123116
ALMAVIVAMIUR,86062091
ALSAWEB,47939819
AMA,65253519
AMADEUSDATA,19105944
AMADEUSFRAINTER,74072341
AMADEUSFRANCE,62703493
AMEOSSAMEOSG,100423902
AMERICAQHAME,94956174
AMERICINTRAN,97917878
AMERIPRISE,7095847
AMPLIFON,60814879
AMPUS,64636663
AMSS,31491211
ANAPLAN,72730663
ANEEL,40436539
ANTEL,57599015
ANTHEM,17908847
AOCCONSULTORIA,60953009
AOCPTRANS,63935628
AONHEWITT,7491642
APOLLO,10018201
APPEX,86040614
APPLE,77723220
ARABAWEB,115479623
ARBURG,21037420
ASM,88359373
ATKEARNEY,21256874
ATTATTONESTO,96287951
ATTONESTOP,89613066
ATWEB,4840313
AUCHAN,47297570
AUDATEXUS,30448149
AUTOOWNERS,73046153
AUTOPARTS,69183604
AUTOZONE,7396257
